contradiction,t,h
YES,"Yasser Arafat has lapsed into a coma in a French hospital, a senior Palestinian official said Thursday, a day after the Palestinian leader was rushed to intensive care following a sharp deterioration in his health.",Arafat was not taken to intensive care after his condition worsened.
YES,"Microsoft Corp., on Thursday, posted higher quarterly earnings as revenue rose 12 percent, but its shares fell after the world's largest software market said current quarter sales would fall below Wall Street expectations.",Microsoft did not show revenue growth.
YES,"Asked whether economic conditions or terrorism would be more important to their vote this fall, 65% in the survey said economic conditions, and only 26% said terrorism.",A majority of voters said the economy was not more important to their vote than terrorism.
YES,"The death toll of a fire that roared through a packed Buenos Aires nightclub climbed on Friday to at least 175, with more than 700 injured as young revellers stampeded to reach locked exit doors.",At least 174 had been killed and no more than 410 people injured.
YES,"A 100-foot diameter asteroid will pass within 26,500 miles of Earth, the closest-ever brush on record by a space rock, NASA astronomers said.","An asteroid with a diameter of 100 feet will not pass close by Earth, astronomers said."
YES,"Former South African president Nelson Mandela has criticised US President George W. Bush over Iraq, saying the sole reason for a possible US-led attack would be to gain control of Iraqi oil.",Former South African President Nelson Mandela aimed no criticism at President Bush.
YES,"Insurgent attacks on pipelines have brought oil exports from southern Iraq to a complete halt, a senior oil official said Monday, part of a rebel campaign to undermine the nation's post-war reconstruction efforts.",Insurgents have never launched attacks on Iraq's oil industry.
YES,US rounds up 400 Saddam diehards as group claims anti-US attacks in Iraq.,US did not round up 400 people in Iraq.
YES,A jammed flood gate forced the temporary evacuation of hundreds of people who live downstream from Lake Manatee as the swollen reservoir threatened to burst its banks following torrential rains.,Hundreds of people living downstream from a lake did not evacuate.
YES,American commanders moved their oversight of air operations in the region on Monday from here to a similar command center the U.S. built at the al-Udeid base in Qatar shortly before the Iraq war.,The US military did not move its air command centre to the al-Udeid air base in Qatar.
YES,Kerry said Bush lied to Nevadans about his Republican administration's determination to build a nuclear waste dump at Yucca Mountain.,Kerry says Bush did not lie about Yucca Mt.
YES,"A militant group beheaded three Iraqi Kurdish hostages, showing the killings in a videotape posted on a Web site yesterday, while another group announced that it had kidnapped at least 15 Iraqi National Guardsmen.",A group claimed not to have kidnapped 15 members of the Iraqi National Guard.
YES,"U.S. troops went on the offensive from the gates of Baghdad to the Syrian border Tuesday, pounding Sunni insurgent positions from the air and supporting Iraqi soldiers in raids on mosques suspected of harboring extremists.","Iraqi forces, backed by U.S. soldiers, did not launch a series of raids on mosques."
YES,On Monday Pakistan Prime Minister Jamali made a 10-minute telephone call to India's Prime Minister Vajpayee in a move Islamabad said had ended an 18-month impasse between the two sides.,"Prime Minister Jamali of Pakistan did not call his Indian counterpart, Vajpayee."
YES,"The leader of Iraq's largest Sunni Arab political party Saturday proposed 15 amendments to the country's draft constitution, one day after Shiite Muslim and Kurdish leaders said they had made their last, best offer.",Shiites and Kurds did not make what they said was a final offer.
YES,"U.S. planned job cuts dropped by 15 percent in January and below the 100,000 level for the first time since August 2004, a report said on Tuesday.",U.S. planned job cuts did not fall in January.
YES,The 2004-2005 season was officially canceled yesterday when the hockey team owners and players couldn't agree on what players should be paid.,The season has not been cancelled after players and owners failed to agree on a deal.
YES,"In Baghdad, a car bomb exploded late Sunday near a police patrol in the fashionable Jadiriyah district, killing at least six people, including three police officers, and wounding 26 others.","The bomb killed six people, not including three policeman."
YES,"For all last year, business spending on equipment and software grew 13.4%, the largest increase since 1997.",Business spending on equipment and software did not grow by 13.4 percent.
YES,North and South Korean delegates struggling to hold together a summit on economic co-operation have resumed talks in Pyongyang.,South and North Korea did not resume discussions.
YES,"Mickelson finished a triumphant week in his second home, winning the FBR Open by five strokes for his largest margin of victory in a PGA Tour event.","Mickelson did not win the FBR Open by five strokes, the largest margin of victory in his PGA Tour triumphs."
YES,"A mortar attack north of Baghdad killed four Iraqi national guardsmen and wounded 80 others Tuesday, while a top official from a prominent charity was kidnapped in the Iraqi capital.","On Tuesday, a mortar attack did not kill four Iraqi guardsmen and injured 80 north of Baghdad."
YES,"Roger Federer posted a huge win in the howling wind, beating two-time champion Andre Agassi 6-3, 2-6, 7-5, 3-6, 6-3 Thursday in a U.S. Open quarterfinal match suspended the previous night because of rain.",Roger Federer did not battle past Andre Agassi in five sets.
YES,"The pope entered the hospital for a relapse of the flu and underwent the elective surgery to relieve respiratory problems, Vatical officials said earlier.",The pontiff was not struck by a relapse of the flu.
